1309503:
    -1,1,-1,2122,941,0.00;
    -1,2,-1,-367,-3592,0.00;
    -1,3,-1,290,-3517,0.00;
    -1,4,-1,3215,-2984,0.00;
    -1,5,-1,2792,2229,0.00;
    -1,6,-1,1578,-3668,0.00;
    -1,7,-1,1675,-3675,0.00;
    -1,8,-1,-372,-3201,0.00;
    -1,9,-1,952,51,0.00;
    -1,10,-1,2652,2761,0.00;
    1,11,20,-2227,1016,0.00;
    0,12,26,1845,350,0.00;
    -1,13,-1,1249,-3612,0.00;
    0,14,21,4174,48,0.00;
    -1,15,-1,2714,2813,0.00;
    -1,16,-1,-2065,-194,0.00;
    -1,17,-1,1492,-3673,0.00;
    1,18,10,-3223,2130,0.00;
    -1,19,-1,707,670,0.00;
    -1,20,-1,-1109,-3705,0.00;
    0,21,10,2932,885,0.00;
    -1,22,-1,-30,-3421,0.00;
    -1,23,-1,4416,-3615,0.00;
    -1,24,-1,-1675,-763,0.00;
    0,25,2,938,-198,0.00;
    4,26,-1,5550,4400,0.00;
    4,27,-1,5550,4400,0.00;
    4,28,-1,5550,4400,0.00;
    4,29,-1,5550,4400,0.00;
    :4002,-2845,1,41.80,A,Dead;
    :
1309504:-1,1,-1,2120,941,0.00;-1,2,-1,-370,-3593,0.00;-1,3,-1,290,-3517,0.00;-1,4,-1,3218,-2987,0.00;-1,5,-1,2783,2230,0.00;-1,6,-1,1578,-3669,0.00;-1,7,-1,1674,-3674,0.00;-1,8,-1,-373,-3202,0.00;-1,9,-1,952,48,0.00;-1,10,-1,2647,2761,0.00;1,11,20,-2202,1029,0.00;0,12,26,1845,349,0.00;-1,13,-1,1250,-3611,0.00;0,14,21,4169,48,0.00;-1,15,-1,2712,2808,0.00;-1,16,-1,-2065,-194,0.00;-1,17,-1,1492,-3672,0.00;1,18,10,-3227,2128,0.00;-1,19,-1,705,670,0.00;-1,20,-1,-1109,-3703,0.00;0,21,10,2930,884,0.00;-1,22,-1,-29,-3421,0.00;-1,23,-1,4410,-3614,0.00;-1,24,-1,-1675,-759,0.00;0,25,2,937,-199,0.00;4,26,-1,5550,4400,0.00;4,27,-1,5550,4400,0.00;4,28,-1,5550,4400,0.00;4,29,-1,5550,4400,0.00;:4007,-2834,6,69.72,A,Dead;:
